name	type	role	states	x	y	label	model	description
X-ray	finiteStates	chance	no; yes	214	397	Symptom	Asia	
Bronchitis	finiteStates	chance	no; yes	701	216	Disease	Asia	Bronchitis is inflammation of the airways in the lungs that is usually caused by an infection. It often gets better without treatment in around 3 weeks. Some people have long-term inflammation of the airways in the lungs called chronic bronchitis. This is known as chronic obstructive pulmonary disease (COPD).
Dyspnea	finiteStates	chance	no; yes	509	400	Symptom	Asia	Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation. Very strenuous exercise, extreme temperatures, obesity and higher altitude all can cause shortness of breath in a healthy person.
Visit To Asia	finiteStates	chance	no; yes	204	55	Risk	Asia	
Smoking	finiteStates	chance	no; yes	625	61	Risk	Asia	
Lung cancer	finiteStates	chance	no; yes	444	163	Disease	Asia	Lung cancers usually are grouped into two main types called small cell and non-small cell (including adenocarcinoma and squamous cell carcinoma). These types of lung cancer grow differently and are treated differently. Non-small cell lung cancer is more common than small cell lung cancer.
Tuberculosis	finiteStates	chance	no; yes	202	163	Disease	Asia	Tuberculosis (TB) is a disease caused by germs that are spread from person to person through the air. TB usually affects the lungs, but it can also affect other parts of the body, such as the brain, the kidneys, or the spine. A person with TB can die if they do not get treatment.
Lung disease	finiteStates	chance	no; yes	325	284	Disease	Asia	
Lung						Anatomy		One of a pair of organs in the chest that supplies the body with oxygen, and removes carbon dioxide from the body.
Bronchi						Anatomy		A bronchus is a passage or airway in the lower respiratory tract that conducts air into the lungs.
COVID-19	finiteStates	chance	no; yes	377	171	Disease	Asia	Coronavirus disease 2019 (COVID-19) is a contagious disease caused by a virus, the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first known case was identified in Wuhan, China, in December 2019. The disease quickly spread worldwide, resulting in the COVID-19 pandemic. 